task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
ubiquitination_k	4	3	204	10555	0.4833	21.0000	46.0000	0.0907	0.0810	0.0997	-0.0144	-0.0148	False
ubiquitination_k	4	4	264	31676	0.3081	29.0000	89.0000	-0.0018	0.0041	-0.0045	0.0100	0.0311	False
glycosylation_n	0	0	170	728	0.2953	1.0000	4.0000	0.0577	0.0208	0.0731	0.0068	0.0248	False
glycosylation_n	0	1	116	1001	0.1678	1.0000	8.0000	0.0611	0.0122	0.0710	0.0014	0.0175	False
glycosylation_n	0	2	98	1237	0.1172	1.0000	11.0000	0.0075	-0.0019	0.0087	-0.0026	-0.0330	False
glycosylation_n	0	3	95	1858	0.0732	1.0000	17.0000	0.0079	-0.0167	0.0099	0.0046	0.0651	False
glycosylation_n	0	4	59	2277	0.0373	1.0000	28.0000	-0.0609	-0.0322	-0.0620	0.0068	0.0162	False
glycosylation_n	1	0	8	41	0.6098	3.0000	5.0000	0.0500	0.0398	0.0661	-0.0100	-0.0064	True
glycosylation_n	1	1	29	246	0.4228	3.0000	8.0000	0.0820	0.0310	0.1193	-0.0184	-0.0359	False
glycosylation_n	1	2	39	485	0.3010	3.0000	12.0000	0.0472	0.0110	0.0628	-0.0032	-0.0445	False
glycosylation_n	1	3	45	937	0.1889	3.0000	18.0000	0.0472	0.0057	0.0569	0.0026	0.0384	False
glycosylation_n	1	4	30	1158	0.0993	3.5000	31.0000	-0.0200	0.0031	-0.0226	0.0045	0.0459	False
glycosylation_n	2	0	1	6	0.8333	5.0000	6.0000	-0.0053	0.0508	-0.2861	0.0000	0.0000	True
glycosylation_n	2	1	5	47	0.7447	6.0000	8.0000	0.0944	0.0541	0.2121	-0.0119	-0.0098	True
glycosylation_n	2	2	20	232	0.4828	5.0000	12.0000	0.0400	0.0229	0.0559	-0.0055	0.0012	False
glycosylation_n	2	3	29	577	0.3466	6.0000	19.0000	0.0782	0.0213	0.1084	0.0024	0.0194	False
glycosylation_n	2	4	64	3370	0.2169	10.0000	40.5000	-0.0337	-0.0088	-0.0405	0.0005	0.0136	False
