task	split	alpha	mode	target_inflation	actual_inflation	inflation_reached	max_inflation	n_sites	n_proteins	exp_flipped	d_auroc	d_auprc	d_auroc_lo	d_auroc_hi	d_auprc_lo	d_auprc_hi	f_shallow	f_deep	f_ref	ref_bin	f_monotone
sumoylation_k	1	0.75	alpha			True	2.0171	26404	649	532.680152273756	-0.05630371667871972	-0.11039989071625608	-0.05926899609960497	-0.05347709119848026	-0.11426616547138514	-0.10714521769808542	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
sumoylation_k	1	1.0	alpha			True	2.0171	26404	649	0.0	-0.06616670065302266	-0.1241759154139299	-0.06616670065302266	-0.06616670065302266	-0.12417591541392992	-0.12417591541392992	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
sumoylation_k	1	0.7942525240884417	inflation	1.1	1.1	True	2.0171	26404	649	423.5000000000006	-0.0582592492481721	-0.1130529973313774	-0.06088985502031191	-0.05526180248247077	-0.11606504294397871	-0.109799883737989	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
sumoylation_k	1	0.5710802662829182	inflation	1.25	1.25	True	2.0171	26404	649	1058.75	-0.047952425138185456	-0.09915511839741228	-0.05144995817528115	-0.04449497455622323	-0.10437031182652878	-0.09383339422039251	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
sumoylation_k	1	0.3181114899321924	inflation	1.5	1.5	True	2.0171	26404	649	2117.4999999999995	-0.0337317299674943	-0.07948245142432624	-0.038402361846532576	-0.028906936409650006	-0.0849134151009342	-0.07395074926040121	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
sumoylation_k	2	0.0	alpha			True	2.1134	22292	604	4048.425672956989	-0.0005792315169752643	-0.024119147843792002	-0.005615766037488037	0.005167331617819248	-0.03132796714926956	-0.017019343232146947	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
sumoylation_k	2	0.25	alpha			True	2.1134	22292	604	2336.591766390892	-0.01887083723563564	-0.046783262979856216	-0.024134758156827384	-0.013780824406189164	-0.05431473075377622	-0.04056343862980954	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
sumoylation_k	2	0.5	alpha			True	2.1134	22292	604	1226.3030418790004	-0.03411778959341209	-0.06526095360004329	-0.038767898812976806	-0.029478406008397847	-0.07001808233517841	-0.059956421412934356	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
sumoylation_k	2	0.75	alpha			True	2.1134	22292	604	493.2948565343688	-0.04664721908573146	-0.07932601781011331	-0.04989236222116917	-0.043653786115599794	-0.08225629791524079	-0.07597394546398789	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
sumoylation_k	2	1.0	alpha			True	2.1134	22292	604	0.0	-0.05675035369102933	-0.09086383371427711	-0.05675035369102932	-0.05675035369102932	-0.09086383371427714	-0.09086383371427714	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
sumoylation_k	2	0.8069312297512412	inflation	1.1	1.1	True	2.1134	22292	604	363.60000000000014	-0.04920261202755896	-0.0822345538055606	-0.052236212082847885	-0.04616750319965582	-0.08539774126672889	-0.07882027648374847	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
sumoylation_k	2	0.5960599068739982	inflation	1.25	1.25	True	2.1134	22292	604	908.9999999999997	-0.03918741876548062	-0.07096382975610352	-0.043415360789964594	-0.03551067186439466	-0.07681526424519963	-0.06589626778719873	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
sumoylation_k	2	0.35378138305810014	inflation	1.5	1.5	True	2.1134	22292	604	1818.0	-0.025287944643744068	-0.054920506967176846	-0.030130679774056195	-0.020596410327436098	-0.060908512090301264	-0.04872950037524974	0.03806336923559552	0.32368925831202044	0.32368925831202044	4	True
acetylation_k	0	0.0	alpha			True	1.733	19447	678	2323.552723223703	-0.05847319383037515	-0.10956643436821331	-0.06479880157027923	-0.05099448668925343	-0.11745843744497178	-0.10070892905928047	0.04671400724032303	0.23453237410071942	0.23453237410071942	3	True
acetylation_k	0	0.25	alpha			True	1.733	19447	678	1415.7807969152495	-0.08721888762903827	-0.14061986362634094	-0.09296342516055921	-0.08150218568326573	-0.14678510232057848	-0.1336997998412483	0.04671400724032303	0.23453237410071942	0.23453237410071942	3	True
acetylation_k	0	0.5	alpha			True	1.733	19447	678	777.1253883297278	-0.11339286344868786	-0.16663002309690447	-0.11846513010399866	-0.10741513934379138	-0.17220430582918228	-0.16109661504702288	0.04671400724032303	0.23453237410071942	0.23453237410071942	3	True
acetylation_k	0	0.75	alpha			True	1.733	19447	678	324.14113937208884	-0.1355119188538211	-0.18795010468712248	-0.13947979854316084	-0.13152826194454081	-0.19184627229220425	-0.18432751860292798	0.04671400724032303	0.23453237410071942	0.23453237410071942	3	True
acetylation_k	0	1.0	alpha			True	1.733	19447	678	0.0	-0.15423218185014206	-0.2057934877030938	-0.1542321818501421	-0.1542321818501421	-0.2057934877030938	-0.2057934877030938	0.04671400724032303	0.23453237410071942	0.23453237410071942	3	True
acetylation_k	0	0.754702731438547	inflation	1.1	1.1	True	1.733	19447	678	317.00000000000034	-0.13600768871019206	-0.18850523828494875	-0.13902135929360337	-0.13263373015175273	-0.19301922711255073	-0.1843821229043647	0.04671400724032303	0.23453237410071942	0.23453237410071942	3	True
