task	train	eval	split	family	auroc	auprc	n_sites	pos_rate	auroc_base	auprc_base	n_sites_base	pos_rate_base	d_auroc	d_auprc
glycosylation_n	replica	rebuilt	2	esm2_perm	0.9377	0.6568	4247	0.1665	0.9629	0.7482	4247	0.1665	-0.0252	-0.0915
glycosylation_n	replica	replica	2	esm2_perm	0.9475	0.8569	2003	0.3530	0.9745	0.9309	2003	0.3530	-0.0270	-0.0740
glycosylation_n	replica	rebuilt	2	interaction_perm	0.9193	0.5957	4247	0.1665	0.9629	0.7482	4247	0.1665	-0.0436	-0.1526
glycosylation_n	replica	replica	2	interaction_perm	0.9469	0.8761	2003	0.3530	0.9745	0.9309	2003	0.3530	-0.0276	-0.0548
glycosylation_n	replica	rebuilt	2	prott5_perm	0.9302	0.6294	4247	0.1665	0.9629	0.7482	4247	0.1665	-0.0327	-0.1188
glycosylation_n	replica	replica	2	prott5_perm	0.9462	0.8645	2003	0.3530	0.9745	0.9309	2003	0.3530	-0.0283	-0.0664
methylation_k	rebuilt	rebuilt	0	esm2	0.8323	0.5985	9669	0.1700	0.8040	0.5390	9669	0.1700	0.0283	0.0595
methylation_k	rebuilt	replica	0	esm2	0.8215	0.6568	5628	0.2921	0.7925	0.6321	5628	0.2921	0.0289	0.0246
methylation_k	rebuilt	rebuilt	0	interaction	0.8131	0.5667	9669	0.1700	0.8040	0.5390	9669	0.1700	0.0091	0.0277
methylation_k	rebuilt	replica	0	interaction	0.7746	0.5906	5628	0.2921	0.7925	0.6321	5628	0.2921	-0.0179	-0.0416
methylation_k	rebuilt	rebuilt	0	prott5	0.8331	0.6022	9669	0.1700	0.8040	0.5390	9669	0.1700	0.0291	0.0632
methylation_k	rebuilt	replica	0	prott5	0.8342	0.6594	5628	0.2921	0.7925	0.6321	5628	0.2921	0.0416	0.0272
methylation_k	rebuilt	rebuilt	1	esm2	0.8300	0.5795	9257	0.1583	0.7962	0.5225	9257	0.1583	0.0338	0.0570
methylation_k	rebuilt	replica	1	esm2	0.8058	0.7340	3867	0.3788	0.7850	0.7259	3867	0.3788	0.0209	0.0081
methylation_k	rebuilt	rebuilt	1	interaction	0.8037	0.5346	9257	0.1583	0.7962	0.5225	9257	0.1583	0.0075	0.0121
methylation_k	rebuilt	replica	1	interaction	0.7456	0.6724	3867	0.3788	0.7850	0.7259	3867	0.3788	-0.0394	-0.0536
methylation_k	rebuilt	rebuilt	1	prott5	0.8316	0.5830	9257	0.1583	0.7962	0.5225	9257	0.1583	0.0354	0.0605
methylation_k	rebuilt	replica	1	prott5	0.8270	0.7492	3867	0.3788	0.7850	0.7259	3867	0.3788	0.0420	0.0233
methylation_k	rebuilt	rebuilt	2	esm2	0.8246	0.5764	9639	0.1621	0.7986	0.5166	9639	0.1621	0.0260	0.0598
methylation_k	rebuilt	replica	2	esm2	0.8170	0.7162	4431	0.3525	0.7754	0.6611	4431	0.3525	0.0417	0.0550
methylation_k	rebuilt	rebuilt	2	interaction	0.8080	0.5356	9639	0.1621	0.7986	0.5166	9639	0.1621	0.0094	0.0190
methylation_k	rebuilt	replica	2	interaction	0.7876	0.6823	4431	0.3525	0.7754	0.6611	4431	0.3525	0.0122	0.0211
methylation_k	rebuilt	rebuilt	2	prott5	0.8246	0.5677	9639	0.1621	0.7986	0.5166	9639	0.1621	0.0259	0.0511
methylation_k	rebuilt	replica	2	prott5	0.8090	0.6895	4431	0.3525	0.7754	0.6611	4431	0.3525	0.0336	0.0284
methylation_k	rebuilt	rebuilt	0	esm2_perm	0.8032	0.5413	9669	0.1700	0.8040	0.5390	9669	0.1700	-0.0008	0.0023
methylation_k	rebuilt	replica	0	esm2_perm	0.7887	0.6240	5628	0.2921	0.7925	0.6321	5628	0.2921	-0.0038	-0.0081
methylation_k	rebuilt	rebuilt	0	interaction_perm	0.7861	0.5091	9669	0.1700	0.8040	0.5390	9669	0.1700	-0.0179	-0.0300
methylation_k	rebuilt	replica	0	interaction_perm	0.7621	0.6154	5628	0.2921	0.7925	0.6321	5628	0.2921	-0.0304	-0.0168
methylation_k	rebuilt	rebuilt	0	prott5_perm	0.7945	0.5319	9669	0.1700	0.8040	0.5390	9669	0.1700	-0.0095	-0.0072
methylation_k	rebuilt	replica	0	prott5_perm	0.7570	0.5812	5628	0.2921	0.7925	0.6321	5628	0.2921	-0.0355	-0.0509
methylation_k	rebuilt	rebuilt	1	esm2_perm	0.7904	0.5075	9257	0.1583	0.7962	0.5225	9257	0.1583	-0.0058	-0.0150
methylation_k	rebuilt	replica	1	esm2_perm	0.7823	0.7189	3867	0.3788	0.7850	0.7259	3867	0.3788	-0.0026	-0.0070
methylation_k	rebuilt	rebuilt	1	interaction_perm	0.7879	0.4944	9257	0.1583	0.7962	0.5225	9257	0.1583	-0.0083	-0.0281
methylation_k	rebuilt	replica	1	interaction_perm	0.7865	0.7288	3867	0.3788	0.7850	0.7259	3867	0.3788	0.0016	0.0029
methylation_k	rebuilt	rebuilt	1	prott5_perm	0.7834	0.5014	9257	0.1583	0.7962	0.5225	9257	0.1583	-0.0129	-0.0211
methylation_k	rebuilt	replica	1	prott5_perm	0.7797	0.7246	3867	0.3788	0.7850	0.7259	3867	0.3788	-0.0053	-0.0013
