task	train	eval	family	d_auroc	auroc_lo	auroc_hi	d_auprc	auprc_lo	auprc_hi	n_boot	n_sites	n_proteins
phosphorylation_st	replica	rebuilt	esm2_perm	-0.0146	-0.0173	-0.0118	-0.0351	-0.0418	-0.0279	2000	322236	3921
phosphorylation_y	replica	rebuilt	esm2_perm	-0.0075	-0.0134	-0.0020	-0.0130	-0.0276	0.0012	2000	20964	1462
acetylation_k	replica	rebuilt	esm2_perm	-0.0545	-0.0677	-0.0419	-0.0797	-0.1024	-0.0534	2000	59380	2017
methylation_k	replica	rebuilt	esm2_perm	-0.2106	-0.2296	-0.1908	-0.2062	-0.2295	-0.1828	2000	28565	1712
methylation_r	replica	rebuilt	esm2_perm	-0.2139	-0.2404	-0.1880	-0.2347	-0.2632	-0.2060	2000	17474	1145
sumoylation_k	replica	rebuilt	esm2_perm	-0.0576	-0.0703	-0.0452	-0.1052	-0.1224	-0.0858	2000	70586	1882
ubiquitination_k	replica	rebuilt	esm2_perm	-0.0276	-0.0337	-0.0213	-0.0561	-0.0685	-0.0438	2000	138192	3478
glycosylation_n	replica	rebuilt	esm2_perm	-0.0316	-0.0388	-0.0248	-0.1201	-0.1518	-0.0858	2000	14200	884
phosphorylation_st	rebuilt	replica	esm2_perm	-0.0112	-0.0144	-0.0082	-0.0234	-0.0308	-0.0162	2000	223525	3921
phosphorylation_y	rebuilt	replica	esm2_perm	-0.0053	-0.0105	-0.0003	-0.0219	-0.0337	-0.0099	2000	20913	2085
acetylation_k	rebuilt	replica	esm2_perm	-0.0110	-0.0204	-0.0017	-0.0138	-0.0321	0.0038	2000	24797	2017
methylation_k	rebuilt	replica	esm2_perm	-0.0030	-0.0120	0.0054	-0.0065	-0.0173	0.0050	2000	13926	1712
methylation_r	rebuilt	replica	esm2_perm	-0.0102	-0.0209	0.0014	-0.0114	-0.0242	0.0024	2000	7194	1147
sumoylation_k	rebuilt	replica	esm2_perm	-0.0319	-0.0491	-0.0152	-0.0534	-0.0839	-0.0215	2000	28835	1882
ubiquitination_k	rebuilt	replica	esm2_perm	-0.0284	-0.0363	-0.0205	-0.0496	-0.0666	-0.0328	2000	72560	3478
glycosylation_n	rebuilt	replica	esm2_perm	-0.0006	-0.0061	0.0049	0.0003	-0.0162	0.0176	2000	5817	884
phosphorylation_st	rebuilt	rebuilt	esm2_perm	-0.0102	-0.0128	-0.0077	-0.0240	-0.0309	-0.0179	2000	322236	3921
phosphorylation_y	rebuilt	rebuilt	esm2_perm	-0.0057	-0.0103	-0.0009	-0.0180	-0.0298	-0.0059	2000	20964	1462
acetylation_k	rebuilt	rebuilt	esm2_perm	-0.0207	-0.0279	-0.0138	-0.0501	-0.0669	-0.0331	2000	59380	2017
methylation_k	rebuilt	rebuilt	esm2_perm	-0.0063	-0.0102	-0.0022	-0.0082	-0.0154	-0.0013	2000	28565	1712
methylation_r	rebuilt	rebuilt	esm2_perm	-0.0071	-0.0127	-0.0017	-0.0050	-0.0155	0.0058	2000	17474	1145
sumoylation_k	rebuilt	rebuilt	esm2_perm	-0.0461	-0.0564	-0.0363	-0.0739	-0.0891	-0.0574	2000	70586	1882
ubiquitination_k	rebuilt	rebuilt	esm2_perm	-0.0227	-0.0283	-0.0176	-0.0478	-0.0604	-0.0354	2000	138192	3478
glycosylation_n	rebuilt	rebuilt	esm2_perm	-0.0011	-0.0029	0.0008	-0.0121	-0.0274	0.0041	2000	14200	884
phosphorylation_st	replica	replica	prott5_perm	-0.0191	-0.0235	-0.0149	-0.0406	-0.0517	-0.0304	2000	223525	3921
phosphorylation_y	replica	replica	prott5_perm	-0.0080	-0.0138	-0.0025	-0.0306	-0.0467	-0.0157	2000	20913	2085
acetylation_k	replica	replica	prott5_perm	-0.1017	-0.1290	-0.0742	-0.1399	-0.1754	-0.1023	2000	24797	2017
methylation_k	replica	replica	prott5_perm	-0.2666	-0.3613	-0.1772	-0.2869	-0.3456	-0.1900	2000	13926	1712
methylation_r	replica	replica	prott5_perm	-0.2462	-0.3163	-0.1704	-0.2420	-0.2934	-0.1646	2000	7194	1147
sumoylation_k	replica	replica	prott5_perm	-0.0844	-0.1030	-0.0673	-0.1256	-0.1530	-0.0981	2000	28835	1882
ubiquitination_k	replica	replica	prott5_perm	-0.0412	-0.0489	-0.0342	-0.0574	-0.0700	-0.0458	2000	72560	3478
glycosylation_n	replica	replica	prott5_perm	-0.0202	-0.0323	-0.0117	-0.0309	-0.0576	-0.0085	2000	5817	884
phosphorylation_st	replica	rebuilt	prott5_perm	-0.0188	-0.0222	-0.0156	-0.0447	-0.0545	-0.0356	2000	322236	3921
phosphorylation_y	replica	rebuilt	prott5_perm	-0.0091	-0.0146	-0.0035	-0.0302	-0.0455	-0.0151	2000	20964	1462
acetylation_k	replica	rebuilt	prott5_perm	-0.0731	-0.0853	-0.0601	-0.1044	-0.1221	-0.0842	2000	59380	2017
methylation_k	replica	rebuilt	prott5_perm	-0.2017	-0.2203	-0.1828	-0.2009	-0.2235	-0.1782	2000	28565	1712
methylation_r	replica	rebuilt	prott5_perm	-0.1821	-0.2041	-0.1600	-0.2149	-0.2409	-0.1877	2000	17474	1145
sumoylation_k	replica	rebuilt	prott5_perm	-0.0590	-0.0722	-0.0451	-0.0973	-0.1171	-0.0746	2000	70586	1882
ubiquitination_k	replica	rebuilt	prott5_perm	-0.0331	-0.0394	-0.0269	-0.0561	-0.0679	-0.0435	2000	138192	3478
glycosylation_n	replica	rebuilt	prott5_perm	-0.0301	-0.0372	-0.0232	-0.1086	-0.1393	-0.0772	2000	14200	884
phosphorylation_st	rebuilt	replica	prott5_perm	-0.0146	-0.0178	-0.0111	-0.0331	-0.0411	-0.0252	2000	223525	3921
phosphorylation_y	rebuilt	replica	prott5_perm	-0.0078	-0.0129	-0.0027	-0.0328	-0.0449	-0.0193	2000	20913	2085
acetylation_k	rebuilt	replica	prott5_perm	-0.0106	-0.0228	0.0012	-0.0064	-0.0292	0.0169	2000	24797	2017
methylation_k	rebuilt	replica	prott5_perm	-0.0180	-0.0341	-0.0024	-0.0306	-0.0569	-0.0044	2000	13926	1712
methylation_r	rebuilt	replica	prott5_perm	-0.0061	-0.0288	0.0123	-0.0075	-0.0416	0.0197	2000	7194	1147
sumoylation_k	rebuilt	replica	prott5_perm	-0.0231	-0.0383	-0.0086	-0.0329	-0.0569	-0.0086	2000	28835	1882
ubiquitination_k	rebuilt	replica	prott5_perm	-0.0417	-0.0517	-0.0329	-0.0670	-0.0891	-0.0472	2000	72560	3478
glycosylation_n	rebuilt	replica	prott5_perm	-0.0006	-0.0050	0.0030	-0.0014	-0.0119	0.0089	2000	5817	884
phosphorylation_st	rebuilt	rebuilt	prott5_perm	-0.0137	-0.0162	-0.0113	-0.0370	-0.0439	-0.0304	2000	322236	3921
phosphorylation_y	rebuilt	rebuilt	prott5_perm	-0.0065	-0.0115	-0.0015	-0.0270	-0.0399	-0.0133	2000	20964	1462
acetylation_k	rebuilt	rebuilt	prott5_perm	-0.0310	-0.0399	-0.0222	-0.0622	-0.0801	-0.0436	2000	59380	2017
methylation_k	rebuilt	rebuilt	prott5_perm	-0.0119	-0.0166	-0.0070	-0.0155	-0.0248	-0.0064	2000	28565	1712
methylation_r	rebuilt	rebuilt	prott5_perm	0.0006	-0.0050	0.0063	-0.0077	-0.0211	0.0058	2000	17474	1145
sumoylation_k	rebuilt	rebuilt	prott5_perm	-0.0432	-0.0533	-0.0330	-0.0730	-0.0887	-0.0557	2000	70586	1882
ubiquitination_k	rebuilt	rebuilt	prott5_perm	-0.0361	-0.0425	-0.0299	-0.0696	-0.0823	-0.0559	2000	138192	3478
glycosylation_n	rebuilt	rebuilt	prott5_perm	-0.0024	-0.0043	-0.0003	-0.0236	-0.0392	-0.0078	2000	14200	884
